timestamp,host,ip,dns_ms,tcp_ms,tls_ms,http_status,total_ms
2026-04-08T10:16:45.115937,github.com,140.82.114.3,9.81,47.92,90.23,200,503.61
2026-04-08T10:17:05.600075,google.com,173.194.208.139,1.49,64.41,18.57,301,310.51
2026-04-08T10:17:15.987602,cloudflare.com,104.16.133.229,5.9,8.86,25.46,301,286.81
2026-04-08T10:17:26.537324,github.com,140.82.114.4,10.22,49.01,78.64,200,467.42
2026-04-08T10:17:46.964105,google.com,173.194.208.139,2.22,9.1,25.95,301,273.69
2026-04-08T10:17:57.327951,cloudflare.com,104.16.133.229,1.36,9.69,24.84,301,277.54
2026-04-08T10:18:07.920069,github.com,140.82.114.3,7.63,44.46,73.37,200,462.27
2026-04-08T10:18:28.333701,google.com,173.194.208.139,1.21,7.48,25.3,301,279.61
2026-04-08T10:18:38.734652,cloudflare.com,104.16.133.229,1.41,11.73,20.89,301,272.11
2026-04-08T10:18:49.368172,github.com,140.82.113.3,11.39,49.26,78.82,200,507.7
2026-04-08T10:19:09.779559,google.com,173.194.208.139,1.52,9.57,23.68,301,263.51
2026-04-08T10:19:20.195593,cloudflare.com,104.16.133.229,1.34,8.61,22.79,301,292.42
2026-04-08T10:19:30.837876,github.com,140.82.112.4,8.19,53.7,84.14,200,493.25
2026-04-08T10:19:51.433248,google.com,173.194.208.139,1.55,7.26,29.28,301,327.77
2026-04-08T10:20:02.163488,cloudflare.com,104.16.133.229,1.46,42.44,57.47,301,565.72
2026-04-08T10:20:12.770042,github.com,140.82.112.4,12.0,44.31,78.46,200,464.41
2026-04-08T10:20:33.258536,google.com,173.194.208.101,13.2,17.24,24.64,301,288.34
2026-04-08T10:20:43.632288,cloudflare.com,104.16.133.229,1.43,10.68,21.31,301,290.9
2026-04-08T10:20:54.284543,github.com,140.82.112.4,1.16,53.8,78.04,200,474.39
2026-04-08T10:21:14.648247,google.com,173.194.208.101,1.37,7.85,18.82,301,252.42
2026-04-08T10:21:25.031132,cloudflare.com,104.16.132.229,11.03,12.64,20.98,301,304.49
2026-04-08T10:21:35.584506,github.com,140.82.114.4,8.51,44.22,81.31,200,477.87
2026-04-08T10:21:55.952707,google.com,173.194.208.101,1.56,8.81,23.22,301,271.6
2026-04-08T10:22:06.328996,cloudflare.com,104.16.132.229,1.39,7.41,22.55,301,279.46
2026-04-08T10:22:16.943702,github.com,140.82.112.4,6.99,51.73,86.28,200,482.58
2026-04-08T10:22:37.338097,google.com,173.194.208.101,1.34,8.67,22.9,301,258.56
2026-04-08T10:22:47.704702,cloudflare.com,104.16.132.229,1.46,7.33,24.51,301,265.72
